Key	PY+T	Pho+T	IPA+T	PY-T	Pho-T	IPA-T	Tone	SyStruct	SyLen	OrthLen	PhoLen	FreqPM	Words	HomoDensity	Dominate-POS	Freq-Dominate-POS	Percent-Dominate-POS	Other-POSes	Num-Neighbors	R-Neighbors	A-Neighbors	S-Neighbors	Neighbors	Freq-Neighbors
i aI 0									0.000	0	0	0.0		0		0	0.000		1	1	0	0	i a 0	10700
i aI 1									0.000	0	0	0.0		0		0	0.000		22	20	0	2	i aU 1, k aI 1, K aI 1, x aI 1, t aI 1, P aI 1, c aI 1, i a 1, i En 1, Su aI 1, ku aI 1, i oU 1, C aI 1, u aI 1, z aI 1, T aI 1, i E 1, p aI 1, s aI 1, i aN 1, i 1, aI 1	373296
i aI 2									0.000	0	0	0.0		0		0	0.000		18	16	0	2	l aI 2, c aI 2, i oU 2, T aI 2, i E 2, P aI 2, i En 2, p aI 2, i a 2, i aN 2, m aI 2, i aU 2, xu aI 2, x aI 2, Z aI 2, C aI 2, i 2, aI 2	259038
i aI 3									0.000	0	0	0.0		0		0	0.000		22	20	0	2	i oU 3, i E 3, m aI 3, i En 3, i aN 3, p aI 3, i aU 3, k aI 3, x aI 3, c aI 3, Su aI 3, i oN 3, n aI 3, z aI 3, i a 3, K aI 3, ku aI 3, Z aI 3, Cu aI 3, t aI 3, i 3, aI 3	484482
i aI 4									0.000	0	0	0.0		0		0	0.000		30	28	0	2	z aI 4, i aU 4, T aI 4, Ku aI 4, i oN 4, t aI 4, i oU 4, m aI 4, xu aI 4, P aI 4, i E 4, ku aI 4, u aI 4, i aN 4, s aI 4, i a 4, x aI 4, c aI 4, p aI 4, k aI 4, i En 4, Su aI 4, n aI 4, l aI 4, Zu aI 4, S aI 4, Z aI 4, Cu aI 4, aI 4, i 4	1080274
cu aI 0									0.000	0	0	0.0		0		0	0.000		0	0	0	0		0
Cu aI 0									0.000	0	0	0.0		0		0	0.000		2	2	0	0	Cu aI 4, Cu aI 3	227
cu aI 1									0.000	0	0	0.0		0		0	0.000		18	17	0	1	k aI 1, K aI 1, x aI 1, t aI 1, P aI 1, c aI 1, Su aI 1, ku aI 1, C aI 1, u aI 1, cu eI 1, z aI 1, T aI 1, p aI 1, s aI 1, cu o 1, cu an 1, aI 1	121240
cu aI 2									0.000	0	0	0.0		0		0	0.000		11	10	0	1	l aI 2, c aI 2, T aI 2, P aI 2, p aI 2, m aI 2, xu aI 2, x aI 2, Z aI 2, C aI 2, aI 2	237471
cu aI 3									0.000	0	0	0.0		0		0	0.000		14	13	0	1	m aI 3, p aI 3, k aI 3, x aI 3, c aI 3, Su aI 3, n aI 3, z aI 3, K aI 3, ku aI 3, Z aI 3, Cu aI 3, t aI 3, aI 3	28308
cu aI 4									0.000	0	0	0.0		0		0	0.000		25	24	0	1	z aI 4, T aI 4, Ku aI 4, t aI 4, cu o 4, m aI 4, xu aI 4, P aI 4, ku aI 4, u aI 4, s aI 4, x aI 4, c aI 4, p aI 4, k aI 4, Su aI 4, n aI 4, l aI 4, Zu aI 4, S aI 4, cu eI 4, Z aI 4, Cu aI 4, cu an 4, aI 4	766964
fu aI 0									0.000	0	0	0.0		0		0	0.000		0	0	0	0		0
fu aI 1									0.000	0	0	0.0		0		0	0.000		15	14	0	1	k aI 1, K aI 1, x aI 1, t aI 1, P aI 1, c aI 1, Su aI 1, ku aI 1, C aI 1, u aI 1, z aI 1, T aI 1, p aI 1, s aI 1, aI 1	120725
fu aI 2									0.000	0	0	0.0		0		0	0.000		11	10	0	1	l aI 2, c aI 2, T aI 2, P aI 2, p aI 2, m aI 2, xu aI 2, x aI 2, Z aI 2, C aI 2, aI 2	237471
fu aI 3									0.000	0	0	0.0		0		0	0.000		14	13	0	1	m aI 3, p aI 3, k aI 3, x aI 3, c aI 3, Su aI 3, n aI 3, z aI 3, K aI 3, ku aI 3, Z aI 3, Cu aI 3, t aI 3, aI 3	28308
fu aI 4									0.000	0	0	0.0		0		0	0.000		22	21	0	1	z aI 4, T aI 4, Ku aI 4, t aI 4, m aI 4, xu aI 4, P aI 4, ku aI 4, u aI 4, s aI 4, x aI 4, c aI 4, p aI 4, k aI 4, Su aI 4, n aI 4, l aI 4, Zu aI 4, S aI 4, Z aI 4, Cu aI 4, aI 4	730171
iu aI 0									0.000	0	0	0.0		0		0	0.000		0	0	0	0		0
iu aI 1									0.000	0	0	0.0		0		0	0.000		15	14	0	1	k aI 1, K aI 1, x aI 1, t aI 1, P aI 1, c aI 1, Su aI 1, ku aI 1, C aI 1, u aI 1, z aI 1, T aI 1, p aI 1, s aI 1, aI 1	120725
iu aI 2									0.000	0	0	0.0		0		0	0.000		11	10	0	1	l aI 2, c aI 2, T aI 2, P aI 2, p aI 2, m aI 2, xu aI 2, x aI 2, Z aI 2, C aI 2, aI 2	237471
iu aI 3									0.000	0	0	0.0		0		0	0.000		14	13	0	1	m aI 3, p aI 3, k aI 3, x aI 3, c aI 3, Su aI 3, n aI 3, z aI 3, K aI 3, ku aI 3, Z aI 3, Cu aI 3, t aI 3, aI 3	28308
iu aI 4									0.000	0	0	0.0		0		0	0.000		22	21	0	1	z aI 4, T aI 4, Ku aI 4, t aI 4, m aI 4, xu aI 4, P aI 4, ku aI 4, u aI 4, s aI 4, x aI 4, c aI 4, p aI 4, k aI 4, Su aI 4, n aI 4, l aI 4, Zu aI 4, S aI 4, Z aI 4, Cu aI 4, aI 4	730171
Ju aI 0									0.000	0	0	0.0		0		0	0.000		0	0	0	0		0
Ju aI 1									0.000	0	0	0.0		0		0	0.000		15	14	0	1	k aI 1, K aI 1, x aI 1, t aI 1, P aI 1, c aI 1, Su aI 1, ku aI 1, C aI 1, u aI 1, z aI 1, T aI 1, p aI 1, s aI 1, aI 1	120725
Ju aI 2									0.000	0	0	0.0		0		0	0.000		11	10	0	1	l aI 2, c aI 2, T aI 2, P aI 2, p aI 2, m aI 2, xu aI 2, x aI 2, Z aI 2, C aI 2, aI 2	237471
Ju aI 3									0.000	0	0	0.0		0		0	0.000		14	13	0	1	m aI 3, p aI 3, k aI 3, x aI 3, c aI 3, Su aI 3, n aI 3, z aI 3, K aI 3, ku aI 3, Z aI 3, Cu aI 3, t aI 3, aI 3	28308
Ju aI 4									0.000	0	0	0.0		0		0	0.000		22	21	0	1	z aI 4, T aI 4, Ku aI 4, t aI 4, m aI 4, xu aI 4, P aI 4, ku aI 4, u aI 4, s aI 4, x aI 4, c aI 4, p aI 4, k aI 4, Su aI 4, n aI 4, l aI 4, Zu aI 4, S aI 4, Z aI 4, Cu aI 4, aI 4	730171
ku aI 0									0.000	0	0	0.0		0		0	0.000		3	3	0	0	ku aI 4, ku aI 1, ku aI 3	5981
Ku aI 0									0.000	0	0	0.0		0		0	0.000		1	1	0	0	Ku aI 4	62891
Ku aI 1									0.000	0	0	0.0		0		0	0.000		20	19	0	1	Ku aI 4, k aI 1, K aI 1, x aI 1, t aI 1, P aI 1, c aI 1, Su aI 1, ku aI 1, C aI 1, u aI 1, Ku an 1, z aI 1, Ku a 1, T aI 1, Ku eI 1, p aI 1, s aI 1, Ku aN 1, aI 1	184551
Ku aI 2									0.000	0	0	0.0		0		0	0.000		14	13	0	1	l aI 2, Ku aI 4, c aI 2, T aI 2, P aI 2, p aI 2, Ku aN 2, m aI 2, xu aI 2, x aI 2, Z aI 2, C aI 2, Ku eI 2, aI 2	302303
lu aI 0									0.000	0	0	0.0		0		0	0.000		0	0	0	0		0
lu aI 1									0.000	0	0	0.0		0		0	0.000		15	14	0	1	k aI 1, K aI 1, x aI 1, t aI 1, P aI 1, c aI 1, Su aI 1, ku aI 1, C aI 1, u aI 1, z aI 1, T aI 1, p aI 1, s aI 1, aI 1	120725
lu aI 2									0.000	0	0	0.0		0		0	0.000		12	11	0	1	l aI 2, c aI 2, T aI 2, P aI 2, lu o 2, p aI 2, m aI 2, xu aI 2, x aI 2, Z aI 2, C aI 2, aI 2	240400
lu aI 3									0.000	0	0	0.0		0		0	0.000		16	15	0	1	m aI 3, p aI 3, k aI 3, x aI 3, c aI 3, Su aI 3, n aI 3, z aI 3, lu o 3, K aI 3, ku aI 3, lu an 3, Z aI 3, Cu aI 3, t aI 3, aI 3	29005
